Project,File,Spotbug,PMD,Infer,Spotbug Mutated,PMD Mutated,Infer Mutated,Spotbug Killed,PMD Killed,Infer Killed,Spotbug % (Project),PMD % (Project),Infer % (Project)
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,10.787232569410786,11.888111888111888,0.0
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,5,15,0,True,False,False,,,
docx4j-core,Docx4J.java,4,15,0,5,15,0,True,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,16,0,False,True,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,6,16,0,True,True,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,6,15,0,True,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,14,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,5,15,0,True,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
docx4j-core,Docx4J.java,4,15,0,4,15,0,False,False,False,,,
