Project,File,Spotbug,PMD,Infer,Spotbug Mutated,PMD Mutated,Infer Mutated,Spotbug Killed,PMD Killed,Infer Killed,Spotbug % (Project),PMD % (Project),Infer % (Project)
greenmail-core,GreenMailOperations.java,0,0,0,0,0,0,False,False,False,13.217768147345613,12.67605633802817,0.0
greenmail-core,ConfiguredGreenMail.java,0,0,0,1,0,0,True,False,False,,,
greenmail-core,ConfiguredGreenMail.java,0,0,0,1,0,0,True,False,False,,,
greenmail-core,ConfiguredGreenMail.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,ConfiguredGreenMail.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,ConfiguredGreenMail.java,0,0,0,1,0,0,True,False,False,,,
greenmail-core,ConfiguredGreenMail.java,0,0,0,0,1,0,False,True,False,,,
greenmail-core,ConfiguredGreenMail.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,GreenMailConfiguration.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,GreenMailConfiguration.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,2,0,0,True,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,2,0,0,True,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,0,1,0,False,True,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,0,1,0,False,True,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,1,0,0,True,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,PropertiesBasedGreenMailConfigurationBuilder.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,UserBean.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,UserBean.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,UserBean.java,0,0,0,0,0,0,False,False,False,,,
greenmail-core,UserBean.java,0,0,0,0,0,0,False,False,False,,,
