Project,File,Spotbug,PMD,Infer,Spotbug Mutated,PMD Mutated,Infer Mutated,Spotbug Killed,PMD Killed,Infer Killed,Spotbug % (Project),PMD % (Project),Infer % (Project)
hibernate-ogm,OgmSession.java,0,0,0,0,0,0,False,False,False,7.030636292223095,12.922230950510604,0.0
hibernate-ogm,OgmSessionFactory.java,0,1,0,0,1,0,False,False,False,,,
hibernate-ogm,OgmSessionFactory.java,0,1,0,0,1,0,False,False,False,,,
hibernate-ogm,OgmSessionFactory.java,0,1,0,0,1,0,False,False,False,,,
hibernate-ogm,OgmSessionFactory.java,0,1,0,0,1,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
hibernate-ogm,OgmSessionFactoryBuilder.java,0,0,0,0,0,0,False,False,False,,,
