Project,File,Spotbug,PMD,Infer,Spotbug Mutated,PMD Mutated,Infer Mutated,Spotbug Killed,PMD Killed,Infer Killed,Spotbug % (Project),PMD % (Project),Infer % (Project)
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,9.80547836443033,9.606986899563319,0.0
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,JavaParserBuild.java,0,0,0,0,0,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,2,0,False,True,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,2,0,False,True,False,,,
javaparser-core,CommentsInserter.java,0,1,0,2,1,0,True,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,1,1,0,True,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,2,0,False,True,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,1,2,0,True,True,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,2,0,False,True,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,2,0,False,True,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,2,0,False,True,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,2,1,0,True,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,2,0,False,True,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,2,0,False,True,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,2,1,0,True,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,2,0,False,True,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,1,1,0,True,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
javaparser-core,CommentsInserter.java,0,1,0,0,1,0,False,False,False,,,
