Project,File,Spotbug,PMD,Infer,Spotbug Mutated,PMD Mutated,Infer Mutated,Spotbug Killed,PMD Killed,Infer Killed,Spotbug % (Project),PMD % (Project),Infer % (Project)
lavagna,Constants.java,0,0,0,0,0,0,False,False,False,1.7094017094017093,3.646723646723647,0.0
lavagna,Constants.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Constants.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Constants.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Constants.java,0,0,0,0,0,0,False,False,False,,,
lavagna,CookieNames.java,0,0,0,0,0,0,False,False,False,,,
lavagna,CookieNames.java,0,0,0,0,0,0,False,False,False,,,
lavagna,CookieNames.java,0,0,0,0,0,0,False,False,False,,,
lavagna,CookieNames.java,0,0,0,0,0,0,False,False,False,,,
lavagna,CookieNames.java,0,0,0,0,0,0,False,False,False,,,
lavagna,CookieNames.java,0,0,0,0,0,0,False,False,False,,,
lavagna,CookieNames.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DatabaseMigrationDoneEvent.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Json.java,0,0,0,1,0,0,True,False,False,,,
lavagna,Json.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Json.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Json.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Json.java,0,0,0,0,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,0,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,1,0,False,True,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,1,0,False,True,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,2,0,0,True,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,1,0,0,False,False,False,,,
lavagna,LavagnaEnvironment.java,1,0,0,2,2,0,True,True,False,,,
lavagna,Read.java,0,0,0,0,1,0,False,True,False,,,
lavagna,Read.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Read.java,0,0,0,1,0,0,True,False,False,,,
lavagna,Read.java,0,0,0,0,1,0,False,True,False,,,
lavagna,Read.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Read.java,0,0,0,2,0,0,True,False,False,,,
lavagna,Read.java,0,0,0,1,0,0,True,False,False,,,
lavagna,Read.java,0,0,0,2,0,0,True,False,False,,,
lavagna,Read.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Read.java,0,0,0,0,1,0,False,True,False,,,
lavagna,Read.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Read.java,0,0,0,2,0,0,True,False,False,,,
lavagna,Read.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Read.java,0,0,0,2,0,0,True,False,False,,,
lavagna,Read.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Read.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Read.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Read.java,0,0,0,2,0,0,True,False,False,,,
lavagna,Read.java,0,0,0,1,0,0,True,False,False,,,
lavagna,Read.java,0,0,0,2,0,0,True,False,False,,,
lavagna,Read.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Read.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Read.java,0,0,0,0,3,0,False,True,False,,,
lavagna,Read.java,0,0,0,1,0,0,True,False,False,,,
lavagna,Read.java,0,0,0,0,0,0,False,False,False,,,
lavagna,Version.java,0,1,0,0,1,0,False,False,False,,,
lavagna,Version.java,0,1,0,0,1,0,False,False,False,,,
lavagna,Version.java,0,1,0,0,1,0,False,False,False,,,
lavagna,Version.java,0,1,0,0,1,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,1,0,False,True,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,2,0,False,True,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,1,0,False,True,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,2,0,False,True,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,0,0,False,False,False,,,
lavagna,DataSourceConfig.java,0,0,1,0,1,0,False,True,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,1,0,False,True,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,0,0,False,False,False,,,
lavagna,DispatcherServletInitializer.java,0,0,0,0,1,0,False,True,False,,,
