Project,File,Spotbug,PMD,Infer,Spotbug Mutated,PMD Mutated,Infer Mutated,Spotbug Killed,PMD Killed,Infer Killed,Spotbug % (Project),PMD % (Project),Infer % (Project)
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,1.7465187632759027,1.9589332074581072,0.0
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
nanohttpd,ClientHandler.java,0,0,1,0,0,0,False,False,False,,,
