Project,File,Spotbug,PMD,Infer,Spotbug Mutated,PMD Mutated,Infer Mutated,Spotbug Killed,PMD Killed,Infer Killed,Spotbug % (Project),PMD % (Project),Infer % (Project)
nifi-api,Action.java,0,0,0,0,0,0,False,False,False,9.173976608187134,14.692982456140351,0.0
nifi-api,Action.java,0,0,0,0,1,0,False,True,False,,,
nifi-api,Action.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Action.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Action.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Action.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Action.java,0,0,0,0,1,0,False,True,False,,,
nifi-api,Action.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Action.java,0,0,0,0,1,0,False,True,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Component.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Operation.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Operation.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Operation.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Operation.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Operation.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Operation.java,0,0,0,0,0,0,False,False,False,,,
nifi-api,Operation.java,0,0,0,0,0,0,False,False,False,,,
