Project,File,Spotbug,PMD,Infer,Spotbug Mutated,PMD Mutated,Infer Mutated,Spotbug Killed,PMD Killed,Infer Killed,Spotbug % (Project),PMD % (Project),Infer % (Project)
objenesis,ObjenesisBase.java,0,0,0,1,0,0,True,False,False,1.4351320321469576,6.371986222732492,0.0
objenesis,ObjenesisBase.java,0,0,0,1,0,0,True,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjenesisBase.java,0,0,0,1,1,0,True,True,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjenesisBase.java,0,0,0,1,0,0,True,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,1,0,0,True,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,1,0,0,True,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisBase.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjenesisException.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisException.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisException.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjenesisException.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjenesisException.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjenesisException.java,0,0,0,0,2,0,False,True,False,,,
objenesis,SerializationInstantiatorHelper.java,0,0,0,0,0,0,False,False,False,,,
objenesis,SerializationInstantiatorHelper.java,0,0,0,0,0,0,False,False,False,,,
objenesis,SerializationInstantiatorHelper.java,0,0,0,0,0,0,False,False,False,,,
objenesis,SerializationInstantiatorHelper.java,0,0,0,0,0,0,False,False,False,,,
objenesis,SerializationInstantiatorHelper.java,0,0,0,0,0,0,False,False,False,,,
objenesis,SerializationInstantiatorHelper.java,0,0,0,0,0,0,False,False,False,,,
objenesis,SerializationInstantiatorHelper.java,0,0,0,0,1,0,False,True,False,,,
objenesis,Android10Instantiator.java,0,0,0,0,2,0,False,True,False,,,
objenesis,Android10Instantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,Android10Instantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,Android17Instantiator.java,0,0,0,0,2,0,False,True,False,,,
objenesis,Android17Instantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,Android17Instantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,Android17Instantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,Android17Instantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,Android18Instantiator.java,0,0,0,0,2,0,False,True,False,,,
objenesis,Android18Instantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,Android18Instantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,Android18Instantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,Android18Instantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,AndroidSerializationInstantiator.java,0,0,0,0,2,0,False,True,False,,,
objenesis,AndroidSerializationInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,AndroidSerializationInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,AndroidSerializationInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,Instantiator.java,0,0,0,0,2,0,False,True,False,,,
objenesis,Instantiator.java,0,0,0,0,1,0,False,True,False,,,
objenesis,Instantiator.java,0,0,0,0,2,0,False,True,False,,,
objenesis,Typology.java,0,0,0,0,0,0,False,False,False,,,
objenesis,AccessibleInstantiator.java,0,0,0,0,2,0,False,True,False,,,
objenesis,AccessibleInstantiator.java,0,0,0,1,0,0,True,False,False,,,
objenesis,AccessibleInstantiator.java,0,0,0,1,0,0,True,False,False,,,
objenesis,AccessibleInstantiator.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ConstructorInstantiator.java,0,0,0,0,2,0,False,True,False,,,
objenesis,ConstructorInstantiator.java,0,0,0,2,2,0,True,True,False,,,
objenesis,ConstructorInstantiator.java,0,0,0,0,1,0,False,True,False,,,
objenesis,FailingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,FailingInstantiator.java,0,1,0,0,3,0,False,True,False,,,
objenesis,FailingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,NewInstanceInstantiator.java,0,0,0,0,2,0,False,True,False,,,
objenesis,NewInstanceInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,NullInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,NullInstantiator.java,0,1,0,0,3,0,False,True,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,2,0,False,True,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,1,0,0,True,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,1,0,0,True,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,2,0,0,True,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,1,0,0,True,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,1,0,0,True,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,2,0,False,True,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectInputStreamInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectStreamClassInstantiator.java,0,0,0,0,2,0,False,True,False,,,
objenesis,ObjectStreamClassInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectStreamClassInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectStreamClassInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectStreamClassInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectStreamClassInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ObjectStreamClassInstantiator.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjectStreamClassInstantiator.java,0,0,0,0,1,0,False,True,False,,,
objenesis,ObjectStreamClassInstantiator.java,0,0,0,0,0,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,3,0,False,True,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,2,0,False,True,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,2,0,False,True,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,2,0,False,True,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,2,0,False,True,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,2,0,False,True,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,2,0,False,True,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,2,0,False,True,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
objenesis,ProxyingInstantiator.java,0,1,0,0,1,0,False,False,False,,,
