Project,File,Spotbug,PMD,Infer,Spotbug Mutated,PMD Mutated,Infer Mutated,Spotbug Killed,PMD Killed,Infer Killed,Spotbug % (Project),PMD % (Project),Infer % (Project)
optaplanner-core,package-info.java,-1,0,0,-1,0,0,False,False,False,1.2147195426938193,4.930332261521972,0.0
optaplanner-core,package-info.java,-1,0,0,-1,0,0,False,False,False,,,
optaplanner-core,AutoDiscoverMemberType.java,0,7,0,0,6,0,False,False,False,,,
optaplanner-core,AutoDiscoverMemberType.java,0,7,0,0,6,0,False,False,False,,,
optaplanner-core,AutoDiscoverMemberType.java,0,7,0,0,6,0,False,False,False,,,
optaplanner-core,AutoDiscoverMemberType.java,0,7,0,0,6,0,False,False,False,,,
optaplanner-core,AutoDiscoverMemberType.java,0,7,0,0,6,0,False,False,False,,,
optaplanner-core,AutoDiscoverMemberType.java,0,7,0,0,6,0,False,False,False,,,
optaplanner-core,AutoDiscoverMemberType.java,0,7,0,0,6,0,False,False,False,,,
optaplanner-core,ConstraintConfiguration.java,0,1,0,0,0,0,False,False,False,,,
optaplanner-core,ConstraintConfiguration.java,0,1,0,0,3,0,False,True,False,,,
optaplanner-core,ConstraintConfiguration.java,0,1,0,0,3,0,False,True,False,,,
optaplanner-core,ConstraintConfigurationProvider.java,0,2,0,0,4,0,False,True,False,,,
optaplanner-core,ConstraintConfigurationProvider.java,0,2,0,0,4,0,False,True,False,,,
optaplanner-core,ConstraintConfigurationProvider.java,0,2,0,0,1,0,False,False,False,,,
optaplanner-core,ConstraintConfigurationProvider.java,0,2,0,0,1,0,False,False,False,,,
optaplanner-core,ConstraintWeight.java,0,1,0,0,3,0,False,True,False,,,
optaplanner-core,ConstraintWeight.java,0,1,0,0,0,0,False,False,False,,,
optaplanner-core,ConstraintWeight.java,0,1,0,0,3,0,False,True,False,,,
optaplanner-core,PlanningEntity.java,0,3,0,0,2,0,False,False,False,,,
optaplanner-core,PlanningEntity.java,0,3,0,0,2,0,False,False,False,,,
optaplanner-core,PlanningEntity.java,0,3,0,0,2,0,False,False,False,,,
optaplanner-core,PlanningEntity.java,0,3,0,0,5,0,False,True,False,,,
optaplanner-core,PlanningEntity.java,0,3,0,0,5,0,False,True,False,,,
optaplanner-core,PlanningPin.java,0,0,0,0,2,0,False,True,False,,,
optaplanner-core,PlanningPin.java,0,0,0,0,2,0,False,True,False,,,
optaplanner-core,package-info.java,-1,0,0,-1,0,0,False,False,False,,,
optaplanner-core,LookUpStrategyType.java,0,3,0,0,2,0,False,False,False,,,
optaplanner-core,LookUpStrategyType.java,0,3,0,0,2,0,False,False,False,,,
optaplanner-core,LookUpStrategyType.java,0,3,0,0,2,0,False,False,False,,,
optaplanner-core,PlanningId.java,0,6,0,0,5,0,False,False,False,,,
optaplanner-core,PlanningId.java,0,6,0,0,5,0,False,False,False,,,
optaplanner-core,PlanningId.java,0,6,0,0,5,0,False,False,False,,,
optaplanner-core,PlanningId.java,0,6,0,0,8,0,False,True,False,,,
optaplanner-core,PlanningId.java,0,6,0,0,5,0,False,False,False,,,
optaplanner-core,PlanningId.java,0,6,0,0,5,0,False,False,False,,,
optaplanner-core,PlanningId.java,0,6,0,0,5,0,False,False,False,,,
optaplanner-core,PlanningId.java,0,6,0,0,8,0,False,True,False,,,
