Project,File,Spotbug,PMD,Infer,Spotbug Mutated,PMD Mutated,Infer Mutated,Spotbug Killed,PMD Killed,Infer Killed,Spotbug % (Project),PMD % (Project),Infer % (Project)
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,12.012987012987013,12.59018759018759,0.0
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
shopizer-core,MavenWrapperDownloader.java,-1,0,0,-1,0,0,False,False,False,,,
