Project,File,Spotbug,PMD,Infer,Spotbug Mutated,PMD Mutated,Infer Mutated,Spotbug Killed,PMD Killed,Infer Killed,Spotbug % (Project),PMD % (Project),Infer % (Project)
swagger-core,AnnotatedType.java,4,2,0,4,3,0,False,True,False,22.059466550065586,12.439877568867512,0.0
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,3,0,False,True,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,3,0,True,True,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,3,0,True,True,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,3,0,True,True,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,2,0,True,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,2,0,True,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,2,0,True,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,2,0,True,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,2,0,True,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,3,0,False,True,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,3,0,True,True,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,2,0,True,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,2,0,True,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,3,0,False,True,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,3,3,0,False,True,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,2,0,True,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,2,0,True,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,3,0,True,True,False,,,
swagger-core,AnnotatedType.java,4,2,0,3,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,2,0,True,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,5,3,0,True,True,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,3,0,False,True,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,3,0,False,True,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
swagger-core,AnnotatedType.java,4,2,0,4,2,0,False,False,False,,,
